num_ranks,grid_size,num_particles,transform_type,run_index,time_ms
1024,512,1073741824,type1,0,44.596384
1024,512,1073741824,type1,1,47.051840
1024,512,1073741824,type1,2,43.233469
1024,512,1073741824,type1,3,47.714600
1024,512,1073741824,type1,4,51.226968
1024,512,1073741824,type1,5,37.525446
1024,512,1073741824,type1,6,42.256543
1024,512,1073741824,type1,7,46.680037
1024,512,1073741824,type1,8,40.155330
1024,512,1073741824,type1,9,37.705877
1024,512,1073741824,type2,0,38.572345
1024,512,1073741824,type2,1,37.184528
1024,512,1073741824,type2,2,41.189862
1024,512,1073741824,type2,3,31.502344
1024,512,1073741824,type2,4,28.932394
1024,512,1073741824,type2,5,32.712674
1024,512,1073741824,type2,6,33.829636
1024,512,1073741824,type2,7,39.042815
1024,512,1073741824,type2,8,32.615620
1024,512,1073741824,type2,9,39.778366
