num_ranks,grid_size,num_particles,transform_type,run_index,time_ms
1024,1024,8589934592,type1,0,386.486356
1024,1024,8589934592,type1,1,373.277686
1024,1024,8589934592,type1,2,373.005860
1024,1024,8589934592,type1,3,371.404868
1024,1024,8589934592,type1,4,370.582335
1024,1024,8589934592,type1,5,369.789963
1024,1024,8589934592,type1,6,377.821070
1024,1024,8589934592,type1,7,392.980875
1024,1024,8589934592,type1,8,372.534181
1024,1024,8589934592,type1,9,374.148604
1024,1024,8589934592,type2,0,151.809693
1024,1024,8589934592,type2,1,138.844605
1024,1024,8589934592,type2,2,158.840214
1024,1024,8589934592,type2,3,142.428824
1024,1024,8589934592,type2,4,146.881854
1024,1024,8589934592,type2,5,141.248318
1024,1024,8589934592,type2,6,138.583370
1024,1024,8589934592,type2,7,142.132692
1024,1024,8589934592,type2,8,142.879686
1024,1024,8589934592,type2,9,137.882063
