num_ranks,grid_size,num_particles,timer,run,time_s
512,512,1073741824,scatterTimerNUFFT1,0,0.066811867
512,512,1073741824,scatterTimerNUFFT1,1,0.066663378
512,512,1073741824,scatterTimerNUFFT1,2,0.066761808
512,512,1073741824,scatterTimerNUFFT1,3,0.066807818
512,512,1073741824,scatterTimerNUFFT1,4,0.066683646
512,512,1073741824,scatterTimerNUFFT1,5,0.066740778
512,512,1073741824,scatterTimerNUFFT1,6,0.066891090
512,512,1073741824,scatterTimerNUFFT1,7,0.066713405
512,512,1073741824,scatterTimerNUFFT1,8,0.066727753
512,512,1073741824,scatterTimerNUFFT1,9,0.066734145
512,512,1073741824,FFTNUFFT1,0,0.032173832
512,512,1073741824,FFTNUFFT1,1,0.025070611
512,512,1073741824,FFTNUFFT1,2,0.024246142
512,512,1073741824,FFTNUFFT1,3,0.023338792
512,512,1073741824,FFTNUFFT1,4,0.024513220
512,512,1073741824,FFTNUFFT1,5,0.024024762
512,512,1073741824,FFTNUFFT1,6,0.023619636
512,512,1073741824,FFTNUFFT1,7,0.024791230
512,512,1073741824,FFTNUFFT1,8,0.024240751
512,512,1073741824,FFTNUFFT1,9,0.024315265
512,512,1073741824,deconvolutionNUFFT1,0,0.000080136
512,512,1073741824,deconvolutionNUFFT1,1,0.000080085
512,512,1073741824,deconvolutionNUFFT1,2,0.000079023
512,512,1073741824,deconvolutionNUFFT1,3,0.000078542
512,512,1073741824,deconvolutionNUFFT1,4,0.000079594
512,512,1073741824,deconvolutionNUFFT1,5,0.000080506
512,512,1073741824,deconvolutionNUFFT1,6,0.000296725
512,512,1073741824,deconvolutionNUFFT1,7,0.000080066
512,512,1073741824,deconvolutionNUFFT1,8,0.000079975
512,512,1073741824,deconvolutionNUFFT1,9,0.000078622
512,512,1073741824,PrecorrectionNUFFT2,0,0.000144951
512,512,1073741824,PrecorrectionNUFFT2,1,0.000125113
512,512,1073741824,PrecorrectionNUFFT2,2,0.000122889
512,512,1073741824,PrecorrectionNUFFT2,3,0.000319971
512,512,1073741824,PrecorrectionNUFFT2,4,0.000125514
512,512,1073741824,PrecorrectionNUFFT2,5,0.000122998
512,512,1073741824,PrecorrectionNUFFT2,6,0.000123240
512,512,1073741824,PrecorrectionNUFFT2,7,0.000123700
512,512,1073741824,PrecorrectionNUFFT2,8,0.000126485
512,512,1073741824,PrecorrectionNUFFT2,9,0.000125293
512,512,1073741824,PrecorrectionNUFFT2,10,0.000124651
512,512,1073741824,PrecorrectionNUFFT2,11,0.000125423
512,512,1073741824,PrecorrectionNUFFT2,12,0.000123650
512,512,1073741824,FFTNUFFT2,0,0.031576424
512,512,1073741824,FFTNUFFT2,1,0.035442624
512,512,1073741824,FFTNUFFT2,2,0.032242064
512,512,1073741824,FFTNUFFT2,3,0.027187478
512,512,1073741824,FFTNUFFT2,4,0.024650997
512,512,1073741824,FFTNUFFT2,5,0.026097935
512,512,1073741824,FFTNUFFT2,6,0.024255259
512,512,1073741824,FFTNUFFT2,7,0.032070933
512,512,1073741824,FFTNUFFT2,8,0.024478082
512,512,1073741824,FFTNUFFT2,9,0.025147070
512,512,1073741824,FFTNUFFT2,10,0.023713528
512,512,1073741824,FFTNUFFT2,11,0.027715985
512,512,1073741824,FFTNUFFT2,12,0.026740911
512,512,1073741824,GatherNUFFT2,0,0.009591760
512,512,1073741824,GatherNUFFT2,1,0.010157918
512,512,1073741824,GatherNUFFT2,2,0.008480644
512,512,1073741824,GatherNUFFT2,3,0.008579316
512,512,1073741824,GatherNUFFT2,4,0.010702835
512,512,1073741824,GatherNUFFT2,5,0.010374428
512,512,1073741824,GatherNUFFT2,6,0.011873998
512,512,1073741824,GatherNUFFT2,7,0.008509630
512,512,1073741824,GatherNUFFT2,8,0.011062003
512,512,1073741824,GatherNUFFT2,9,0.008459553
512,512,1073741824,GatherNUFFT2,10,0.009897092
512,512,1073741824,GatherNUFFT2,11,0.008195601
512,512,1073741824,GatherNUFFT2,12,0.010015171
512,512,1073741824,NativeNUFFT1,0,0.099069341
512,512,1073741824,NativeNUFFT1,1,0.091817190
512,512,1073741824,NativeNUFFT1,2,0.091090160
512,512,1073741824,NativeNUFFT1,3,0.090228257
512,512,1073741824,NativeNUFFT1,4,0.091279868
512,512,1073741824,NativeNUFFT1,5,0.090849182
512,512,1073741824,NativeNUFFT1,6,0.090810527
512,512,1073741824,NativeNUFFT1,7,0.091587816
512,512,1073741824,NativeNUFFT1,8,0.091051945
512,512,1073741824,NativeNUFFT1,9,0.091131139
512,512,1073741824,NativeNUFFT2,0,0.041333764
512,512,1073741824,NativeNUFFT2,1,0.045731116
512,512,1073741824,NativeNUFFT2,2,0.040851518
512,512,1073741824,NativeNUFFT2,3,0.036091985
512,512,1073741824,NativeNUFFT2,4,0.035485077
512,512,1073741824,NativeNUFFT2,5,0.036600472
512,512,1073741824,NativeNUFFT2,6,0.036257525
512,512,1073741824,NativeNUFFT2,7,0.040709433
512,512,1073741824,NativeNUFFT2,8,0.035672040
512,512,1073741824,NativeNUFFT2,9,0.033737076
512,512,1073741824,NativeNUFFT2,10,0.033740272
512,512,1073741824,NativeNUFFT2,11,0.036042108
512,512,1073741824,NativeNUFFT2,12,0.036885043
