num_ranks,grid_size,num_particles,transform_type,run_index,time_ms
512,512,1073741824,type1,0,102.711435
512,512,1073741824,type1,1,100.173607
512,512,1073741824,type1,2,95.834651
512,512,1073741824,type1,3,96.645714
512,512,1073741824,type1,4,95.300933
512,512,1073741824,type1,5,96.564394
512,512,1073741824,type1,6,96.527303
512,512,1073741824,type1,7,96.346920
512,512,1073741824,type1,8,97.499368
512,512,1073741824,type1,9,97.902918
512,512,1073741824,type2,0,41.093193
512,512,1073741824,type2,1,38.710454
512,512,1073741824,type2,2,38.615577
512,512,1073741824,type2,3,37.560924
512,512,1073741824,type2,4,43.859162
512,512,1073741824,type2,5,38.755707
512,512,1073741824,type2,6,38.203260
512,512,1073741824,type2,7,35.471236
512,512,1073741824,type2,8,39.722145
512,512,1073741824,type2,9,38.997101
