density,n_particles,n_modes,type,method,time_ms,throughput_mpts
1.000000e-06,2,2097152,1,Native_OutputFocused,11.118892,0.000180
1.000000e-06,2,2097152,1,Native_Tiled,23.784960,0.000084
1.000000e-06,2,2097152,1,Native_Atomic,3.019824,0.000662
1.000000e-06,2,2097152,1,cuFINUFFT,0.612804,0.003264
1.000000e-06,2,2097152,2,Native_Atomic,3.099764,0.000645
1.000000e-06,2,2097152,2,Native_AtomicSort,3.153410,0.000634
1.000000e-06,2,2097152,2,cuFINUFFT,1.758997,0.001137
1.000000e-05,20,2097152,1,Native_OutputFocused,11.156004,0.001793
1.000000e-05,20,2097152,1,Native_Tiled,23.810844,0.000840
1.000000e-05,20,2097152,1,Native_Atomic,3.051855,0.006553
1.000000e-05,20,2097152,1,cuFINUFFT,0.616948,0.032418
1.000000e-05,20,2097152,2,Native_Atomic,3.070658,0.006513
1.000000e-05,20,2097152,2,Native_AtomicSort,3.077198,0.006499
1.000000e-05,20,2097152,2,cuFINUFFT,1.821383,0.010981
1.000000e-04,209,2097152,1,Native_OutputFocused,11.133227,0.018773
1.000000e-04,209,2097152,1,Native_Tiled,23.784572,0.008787
1.000000e-04,209,2097152,1,Native_Atomic,3.060831,0.068282
1.000000e-04,209,2097152,1,cuFINUFFT,0.614244,0.340256
1.000000e-04,209,2097152,2,Native_Atomic,3.074360,0.067982
1.000000e-04,209,2097152,2,Native_AtomicSort,3.093988,0.067550
1.000000e-04,209,2097152,2,cuFINUFFT,1.756591,0.118980
1.000000e-03,2097,2097152,1,Native_OutputFocused,11.093238,0.189034
1.000000e-03,2097,2097152,1,Native_Tiled,23.788207,0.088153
1.000000e-03,2097,2097152,1,Native_Atomic,2.980740,0.703517
1.000000e-03,2097,2097152,1,cuFINUFFT,0.622055,3.371083
1.000000e-03,2097,2097152,2,Native_Atomic,3.072453,0.682517
1.000000e-03,2097,2097152,2,Native_AtomicSort,3.095793,0.677371
1.000000e-03,2097,2097152,2,cuFINUFFT,1.834557,1.143055
1.000000e-02,20971,2097152,1,Native_OutputFocused,9.994468,2.098261
1.000000e-02,20971,2097152,1,Native_Tiled,22.709852,0.923432
1.000000e-02,20971,2097152,1,Native_Atomic,1.916116,10.944537
1.000000e-02,20971,2097152,1,cuFINUFFT,0.702213,29.864167
1.000000e-02,20971,2097152,2,Native_Atomic,1.956275,10.719865
1.000000e-02,20971,2097152,2,Native_AtomicSort,2.082396,10.070612
1.000000e-02,20971,2097152,2,cuFINUFFT,1.765474,11.878397
1.000000e-01,209715,2097152,1,Native_OutputFocused,11.258174,18.627799
1.000000e-01,209715,2097152,1,Native_Tiled,23.965789,8.750598
1.000000e-01,209715,2097152,1,Native_Atomic,4.447484,47.153631
1.000000e-01,209715,2097152,1,cuFINUFFT,1.436332,146.007370
1.000000e-01,209715,2097152,2,Native_Atomic,3.323943,63.092241
1.000000e-01,209715,2097152,2,Native_AtomicSort,3.425376,61.223929
1.000000e-01,209715,2097152,2,cuFINUFFT,2.040621,102.770191
5.000000e-01,1048576,2097152,1,Native_OutputFocused,11.344831,92.427648
5.000000e-01,1048576,2097152,1,Native_Tiled,25.471943,41.165921
5.000000e-01,1048576,2097152,1,Native_Atomic,10.090413,103.918042
5.000000e-01,1048576,2097152,1,cuFINUFFT,3.926683,267.038604
5.000000e-01,1048576,2097152,2,Native_Atomic,4.280557,244.962490
5.000000e-01,1048576,2097152,2,Native_AtomicSort,3.741988,280.218971
5.000000e-01,1048576,2097152,2,cuFINUFFT,2.366422,443.105996
1.000000e+00,2097152,2097152,1,Native_OutputFocused,11.778674,178.046535
1.000000e+00,2097152,2097152,1,Native_Tiled,27.433283,76.445535
1.000000e+00,2097152,2097152,1,Native_Atomic,17.169675,122.142791
1.000000e+00,2097152,2097152,1,cuFINUFFT,7.222262,290.373297
1.000000e+00,2097152,2097152,2,Native_Atomic,5.469872,383.400534
1.000000e+00,2097152,2097152,2,Native_AtomicSort,4.083613,513.553084
1.000000e+00,2097152,2097152,2,cuFINUFFT,2.761163,759.517721
2.000000e+00,4194304,2097152,1,Native_OutputFocused,13.824830,303.389185
2.000000e+00,4194304,2097152,1,Native_Tiled,30.624154,136.960647
2.000000e+00,4194304,2097152,1,Native_Atomic,31.351003,133.785320
2.000000e+00,4194304,2097152,1,cuFINUFFT,13.888838,301.990994
2.000000e+00,4194304,2097152,2,Native_Atomic,7.807412,537.220750
2.000000e+00,4194304,2097152,2,Native_AtomicSort,4.632489,905.410402
2.000000e+00,4194304,2097152,2,cuFINUFFT,3.650880,1148.847338
5.000000e+00,10485760,2097152,1,Native_OutputFocused,19.846609,528.340120
5.000000e+00,10485760,2097152,1,Native_Tiled,37.396369,280.395138
5.000000e+00,10485760,2097152,1,Native_Atomic,73.887686,141.914851
5.000000e+00,10485760,2097152,1,cuFINUFFT,34.164366,306.920961
5.000000e+00,10485760,2097152,2,Native_Atomic,14.880296,704.674135
5.000000e+00,10485760,2097152,2,Native_AtomicSort,6.411870,1635.366880
5.000000e+00,10485760,2097152,2,cuFINUFFT,6.103598,1717.963845
1.000000e+01,20971520,2097152,1,Native_OutputFocused,29.777687,704.269612
1.000000e+01,20971520,2097152,1,Native_Tiled,48.630140,431.245311
1.000000e+01,20971520,2097152,1,Native_Atomic,144.798662,144.832278
1.000000e+01,20971520,2097152,1,cuFINUFFT,69.073689,303.610830
1.000000e+01,20971520,2097152,2,Native_Atomic,26.638641,787.259374
1.000000e+01,20971520,2097152,2,Native_AtomicSort,9.141683,2294.054532
1.000000e+01,20971520,2097152,2,cuFINUFFT,9.997888,2097.594991
5.000000e+01,104857600,2097152,1,Native_OutputFocused,108.965891,962.297460
5.000000e+01,104857600,2097152,1,Native_Tiled,150.229578,697.982389
5.000000e+01,104857600,2097152,1,Native_Atomic,711.707558,147.332424
5.000000e+01,104857600,2097152,1,cuFINUFFT,372.363776,281.599895
5.000000e+01,104857600,2097152,2,Native_Atomic,121.142709,865.570867
5.000000e+01,104857600,2097152,2,Native_AtomicSort,30.060587,3488.208629
5.000000e+01,104857600,2097152,2,cuFINUFFT,32.546632,3221.765034
